id,kategorie,frage,antwortoptionen,korrekte_antwort,schwierigkeitsgrad,tag,erklaerung
1,Mathe,Was ist 77 + 33?,"[""99"","" 110"","" 120"","" 100""]",110,1,Grundrechenarten,Einfache Addition zweier zweistelliger Zahlen
2,Mathe,Welches Ergebnis hat 12 × 9?,"[""108"","" 96"","" 112"","" 118""]",108,2,Multiplikation,-
3,Mathe,Wie viel ist 144 ÷ 12?,"[""10"","" 11"","" 12"","" 9""]",12,3,Division,-
4,Geografie,Wie heißt die Hauptstadt von Deutschland?,"[""Berlin"","" Hamburg"","" München"","" Frankfurt""]",Berlin,1,Europa,-
5,Geografie,Welcher Fluss fließt durch Wien?,"[""Donau"","" Rhein"","" Elbe"","" Main""]",Donau,2,Europa,-
6,Geografie,Welches Land grenzt nicht an Spanien?,"[""Frankreich"","" Portugal"","" Andorra"","" Italien""]",Italien,3,Europa,-
7,Name Recall (Historische),Wer war der erste Bundeskanzler der Bundesrepublik Deutschland?,"[""Konrad Adenauer"","" Helmut Kohl"","" Willy Brandt"","" Angela Merkel""]",Konrad Adenauer,1,Zeitgeschichte,-
8,Name Recall (Historische),"Wer komponierte die 9. Sinfonie, auch „Ode an die Freude“ genannt?","[""Ludwig van Beethoven"","" Wolfgang Amadeus Mozart"","" Johann S. Bach"","" Franz Schubert""]",Ludwig van Beethoven,2,Klassische Musik,-
9,Name Recall (Historische),Wer entdeckte 1492 im Auftrag der spanischen Krone Amerika?,"[""Christoph Kolumbus"","" Ferdinand Magellan"","" Vasco da Gama"","" Amerigo Vespucci""]",Christoph Kolumbus,3,Entdecker,-
10,Logikrätsel,"Welche Zahl folgt in der Reihe: 2, 4, 6, 8, ...?","[""9"","" 10"","" 11"","" 12""]",10,1,Zahlenfolgen,-
11,Logikrätsel,"Wenn ein Apfel und eine Birne zusammen 3€ kosten und die Birne 2€ teurer ist als ein Apfel, was kostet der Apfel?","[""1"",""50€"","" 0"",""50€"","" 1€"","" 2€""]","0,50€",2,Knobelaufgabe,-
12,Logikrätsel,Zwei Brüder haben zusammen 24 Jahre. Der eine ist doppelt so alt wie der andere. Wie alt sind sie?,"[""8 und 16"","" 6 und 18"","" 10 und 14"","" 12 und 12""]",8 und 16,3,Denksport,-
13,Wortschatz/Rechtschreibung,Welches Wort ist richtig geschrieben?,"[""Kätze"","" Katze"","" Catze"","" Katzte""]",Katze,1,Rechtschreibung,-
14,Wortschatz/Rechtschreibung,Welche Schreibweise ist korrekt?,"[""Interessant"","" Interessannt"","" Intressant"","" Interesse""]",Interessant,2,Rechtschreibung,-
15,Wortschatz/Rechtschreibung,Welche Formulierung ist orthografisch und grammatikalisch korrekt?,"[""Wegen dem schlechten Wetter"","" Wegen des schlechten Wetters"","" Wegen den schlechten Wetters"","" Wegen dem schlechten Weathers""]",Wegen des schlechten Wetters,3,Grammatik,-
16,Daily Trivia,Welche Farbe hat die spanische Flagge neben Gelb?,"[""Rot"","" Blau"","" Grün"","" Weiß""]",Rot,1,Europa,-
17,Daily Trivia,In welcher Stadt steht das berühmte Guggenheim-Museum in Spanien?,"[""Bilbao"","" Madrid"","" Barcelona"","" Sevilla""]",Bilbao,2,Kultur,-
18,Daily Trivia,Wer schrieb den Roman „Der Name der Rose“?,"[""Umberto Eco"","" Gabriel García Márquez"","" Miguel de Cervantes"","" Thomas Mann""]",Umberto Eco,3,Literatur,-
19,Mathe,Was ist die Quadratwurzel von 144?,"[""10"","" 11"","" 12"","" 13""]",12,1,Quadratwurzel,12² = 144
20,Mathe,Was ist 15% von 200?,"[""30"","" 20"","" 25"","" 35""]",30,2,Prozentrechnung,"0,15 × 200 = 30"
21,Mathe,Löse: 8 + 2 × 5.,"[""18"","" 16"","" 20"","" 28""]",18,1,Reihenfolge,"Punkt-vor-Strich: 2×5=10, 8+10=18"
22,Mathe,Wie viele Primzahlen gibt es zwischen 1 und 20?,"[""8"","" 9"","" 7"","" 10""]",8,2,Primzahlen,"Primzahlen: 2, 3, 5, 7, 11, 13, 17, 19"
23,Geografie,Welches ist das flächenmäßig größte Land der Welt?,"[""Russland"","" Kanada"","" China"","" USA""]",Russland,1,Länder,Russland ist flächenmäßig das größte Land
24,Geografie,Welcher Kontinent beherbergt die meisten Länder?,"[""Afrika"","" Asien"","" Europa"","" Südamerika""]",Afrika,2,Kontinente,Afrika umfasst über 50 Länder
25,Geografie,Welcher Gebirgszug ist der längste der Welt?,"[""Anden"","" Alpen"","" Rocky Mountains"","" Himalaya""]",Anden,3,Gebirge,Die Anden erstrecken sich ca. 7.000 km
26,Name Recall (Historische),Wer war der erste Präsident der Vereinigten Staaten?,"[""George Washington"","" Thomas Jefferson"","" Abraham Lincoln"","" John Adams""]",George Washington,1,Geschichte,Erster US-Präsident
27,Name Recall (Historische),Wer entwarf die Freiheitsstatue?,"[""Frédéric Auguste Bartholdi"","" Gustave Eiffel"","" Michelangelo"","" Leonardo da Vinci""]",Frédéric Auguste Bartholdi,2,Kunst,Schöpfer der Freiheitsstatue
